ec,support_count,query_count,fallback_episodes
1.14.14.24,33,165,33
1.14.14.26,21,105,21
1.14.14.27,38,190,38
1.14.14.28,44,220,44
1.14.14.3,12,60,0
1.14.14.30,46,230,46
1.14.14.32,8,40,0
1.14.14.35,38,190,38
1.14.14.36,32,160,32
1.14.14.37,34,170,34
1.14.14.40,38,190,38
1.14.14.43,35,175,35
1.14.14.44,53,265,53
1.14.14.45,33,165,33
1.14.14.46,38,190,38
1.14.14.5,9,45,0
1.14.14.50,35,175,35
1.14.14.52,16,80,16
1.14.14.53,13,65,0
1.14.14.55,35,175,35
1.14.14.56,43,215,43
1.14.14.60,16,80,16
1.14.14.62,38,190,38
1.14.14.63,39,195,39
1.14.14.64,36,180,36
1.14.14.65,39,195,39
1.14.14.68,44,220,44
1.14.14.70,49,245,49
1.14.14.71,45,225,45
1.14.14.73,28,140,28
1.14.14.74,28,140,28
1.14.14.75,49,245,49
1.14.14.76,45,225,45
1.14.14.77,40,200,40
1.14.14.78,30,150,30
1.14.14.79,17,85,17
1.14.14.8,45,225,45
1.14.14.80,10,50,0
1.14.14.81,14,70,0
1.14.14.82,35,175,35
1.14.14.83,40,200,40
1.14.14.84,41,205,41
1.14.14.86,19,95,19
1.14.14.87,40,200,40
1.14.14.9,13,65,0
1.14.14.91,12,60,0
1.14.14.93,31,155,31
1.14.14.94,13,65,13
1.14.14.95,14,70,14
1.14.14.97,31,155,31
1.14.14.98,22,110,22
1.14.15.-,15,75,15
1.14.15.1,46,230,46
1.14.15.14,21,105,21
1.14.15.15,21,105,21
1.14.15.16,21,105,21
1.14.15.18,26,130,26
1.14.15.19,35,175,35
1.14.15.21,15,75,0
1.14.15.22,36,180,36
1.14.15.23,41,205,41
1.14.15.24,21,105,0
1.14.15.26,39,195,39
1.14.15.27,22,110,22
1.14.15.28,11,55,0
1.14.15.29,15,75,15
1.14.15.3,14,70,14
1.14.15.30,14,70,0
1.14.15.35,51,255,51
1.14.15.36,18,90,18
1.14.15.4,11,55,0
1.14.15.45,13,65,13
1.14.15.46,12,60,12
1.14.15.5,12,60,0
1.14.15.6,5,25,0
1.14.15.8,46,230,46
1.14.15.9,26,130,26
1.14.16.1,15,75,0
1.14.16.2,13,65,0
1.14.16.4,9,45,0
1.14.16.5,32,160,32
1.14.16.7,40,200,40
1.14.17.-,23,115,23
1.14.17.1,16,80,16
1.14.17.4,10,50,0
1.14.18.1,6,30,0
1.14.18.10,33,165,33
1.14.18.12,23,115,23
1.14.18.2,20,100,20
1.14.18.3,37,185,37
1.14.18.4,31,155,31
1.14.18.5,21,105,21
1.14.18.7,27,135,27
1.14.18.9,15,75,0
1.14.19.-,2,10,0
1.14.19.1,11,55,0
1.14.19.11,13,65,0
1.14.19.12,45,225,45
1.14.19.13,32,160,32
1.14.19.17,12,60,0
1.14.19.18,17,85,17
1.14.19.19,32,160,32
1.14.19.2,11,55,0
1.14.19.20,14,70,0
1.14.19.21,22,110,0
1.14.19.22,38,190,38
1.14.19.23,10,50,10
1.14.19.25,30,150,30
1.14.19.26,37,185,37
1.14.19.28,33,165,33
1.14.19.29,20,100,20
1.14.19.3,18,90,0
1.14.19.30,9,45,9
1.14.19.31,25,125,25
1.14.19.37,18,90,18
1.14.19.41,11,55,0
1.14.19.44,9,45,9
1.14.19.46,35,175,35
1.14.19.47,29,145,29
1.14.19.48,31,155,31
1.14.19.49,38,190,38
1.14.19.5,33,165,33
1.14.19.50,16,80,16
1.14.19.51,44,220,44
1.14.19.53,18,90,18
1.14.19.55,41,205,41
1.14.19.56,55,275,55
1.14.19.59,28,140,28
1.14.19.6,19,95,19
1.14.19.60,45,225,45
1.14.19.62,40,200,40
1.14.19.64,26,130,26
1.14.19.65,29,145,29
1.14.19.67,32,160,32
1.14.19.68,18,90,18
1.14.19.71,12,60,12
1.14.19.72,24,120,24
1.14.19.73,25,125,25
1.14.19.74,24,120,24
1.14.19.76,32,160,32
1.14.19.77,21,105,21
1.14.19.78,38,190,38
1.14.19.79,27,135,27
1.14.19.8,23,115,23
1.14.19.80,17,85,17
1.14.19.81,33,165,33
1.14.19.9,26,130,26
1.14.19.n4,24,120,24
1.14.20.1,15,75,15
1.14.20.10,46,230,46
1.14.20.6,11,55,0
1.14.20.7,18,90,18
1.14.20.8,42,210,42
1.14.20.9,31,155,31
1.14.99.-,9,45,0
1.14.99.1,2,10,0
1.14.99.29,6,30,0
1.14.99.38,14,70,14
1.14.99.39,17,85,17
1.14.99.44,33,165,33
1.14.99.46,7,35,0
1.14.99.48,15,75,0
1.14.99.50,16,80,16
1.14.99.53,43,215,43
1.14.99.54,35,175,35
1.14.99.55,12,60,12
1.14.99.56,7,35,0
1.14.99.57,31,155,31
1.14.99.58,49,245,49
1.14.99.59,21,105,21
1.14.99.60,7,35,0
1.14.99.62,38,190,38
1.14.99.63,17,85,17
1.14.99.64,43,215,43
1.14.99.65,41,205,41
1.14.99.66,20,100,20
1.14.99.n4,22,110,22
1.15.1.2,14,70,0
1.16.-.-,9,45,0
1.16.1.-,9,45,0
1.16.1.1,9,45,0
1.16.1.10,27,135,27
1.16.1.6,34,170,34
1.16.1.7,10,50,0
1.16.1.8,22,110,22
1.16.1.9,3,15,0
1.16.3.-,47,235,47
1.16.3.1,9,45,0
1.16.3.2,15,75,0
1.16.3.4,25,125,25
1.16.99.1,30,150,30
1.17.1.-,30,150,30
1.17.1.10,29,145,29
1.17.1.4,15,75,0
1.17.1.5,15,75,15
1.17.1.8,6,30,0
1.17.1.9,11,55,0
1.17.3.-,55,275,55
1.17.3.2,0,0,0
1.17.3.5,45,225,45
1.17.4.-,36,180,36
1.17.4.1,4,20,0
1.17.4.2,13,65,0
1.17.4.4,20,100,20
1.17.5.2,17,85,17
1.17.5.3,32,160,32
1.17.7.1,10,50,0
1.17.7.3,5,25,0
1.17.7.4,7,35,0
1.17.8.1,47,235,47
1.17.9.1,35,175,35
1.17.98.3,18,90,0
1.17.98.4,37,185,37
1.17.99.3,30,150,30
1.17.99.6,6,30,0
1.17.99.9,3,15,0
1.18.-.-,37,185,37
1.18.1.-,6,30,0
1.18.1.1,16,80,16
1.18.1.3,9,45,0
1.18.1.5,43,215,43
1.18.1.6,14,70,0
1.18.1.7,24,120,24
1.18.6.1,4,20,0
1.19.1.1,18,90,18
1.2.-.-,20,100,0
1.2.1.-,8,40,0
1.2.1.10,6,30,0
1.2.1.101,45,225,45
1.2.1.103,7,35,0
1.2.1.106,9,45,0
1.2.1.11,5,25,0
1.2.1.12,7,35,0
1.2.1.13,4,20,0
1.2.1.16,24,120,24
1.2.1.19,7,35,0
1.2.1.21,41,205,41
1.2.1.22,12,60,0
1.2.1.24,8,40,0
1.2.1.26,19,95,19
1.2.1.27,7,35,0
1.2.1.28,10,50,0
1.2.1.3,6,30,0
1.2.1.31,22,110,22
1.2.1.32,36,180,36
1.2.1.36,14,70,0
1.2.1.38,5,25,0
1.2.1.4,14,70,14
1.2.1.44,19,95,19
1.2.1.46,13,65,0
1.2.1.47,10,50,0
1.2.1.48,24,120,24
1.2.1.5,11,55,0
1.2.1.50,19,95,0
1.2.1.54,18,90,18
1.2.1.60,45,225,45
1.2.1.62,42,210,42
1.2.1.64,48,240,48
1.2.1.65,31,155,31
1.2.1.67,15,75,15
1.2.1.68,47,235,47
1.2.1.69,46,230,46
1.2.1.7,27,135,27
1.2.1.70,8,40,0
1.2.1.71,7,35,0
1.2.1.72,7,35,0
1.2.1.75,34,170,34
1.2.1.79,16,80,0
1.2.1.8,3,15,0
1.2.1.80,27,135,27
1.2.1.81,21,105,21
1.2.1.82,22,110,22
1.2.1.83,36,180,36
1.2.1.85,27,135,27
1.2.1.86,43,215,43
1.2.1.87,12,60,0
1.2.1.88,9,45,0
1.2.1.9,13,65,0
1.2.1.90,39,195,39
1.2.1.91,29,145,29
1.2.1.92,21,105,21
1.2.1.94,11,55,11
1.2.1.95,0,0,0
1.2.1.96,34,170,34
1.2.1.97,24,120,24
1.2.1.98,37,185,37
1.2.2.-,41,205,41
1.2.3.1,24,120,24
1.2.3.15,43,215,43
1.2.3.3,25,125,25
1.2.3.4,19,95,19
1.2.3.5,34,170,34
1.2.4.1,4,20,0
1.2.4.2,4,20,0
1.2.4.4,8,40,0
1.2.5.1,39,195,39
1.2.5.2,20,100,20
1.2.5.3,18,90,0
1.2.7.-,13,65,13
1.2.7.1,10,50,0
1.2.7.10,18,90,18
1.2.7.11,17,85,17
1.2.7.3,14,70,0
1.2.7.5,16,80,16
1.2.7.7,7,35,0
1.2.7.8,13,65,0
1.2.98.1,20,100,20
1.2.99.-,12,60,12
1.2.99.10,21,105,21
1.2.99.6,21,105,21
1.2.99.7,35,175,35
1.2.99.8,27,135,27
1.20.1.1,43,215,43
1.20.4.-,44,220,44
1.20.4.1,12,60,0
1.20.4.2,12,60,0
1.20.4.3,20,100,20
1.21.-.-,12,60,0
1.21.1.-,50,250,50
1.21.1.1,16,80,0
1.21.3.1,11,55,0
1.21.3.10,37,185,37
1.21.3.11,38,190,38
1.21.3.3,23,115,23
1.21.3.8,33,165,33
1.21.4.2,12,60,0
1.21.4.3,9,45,0
1.21.4.4,7,35,0
1.21.4.5,42,210,42
1.21.98.-,25,125,25
